Original_Color_Name,User_Color_Name,OD,ppm,Unnamed:_4,Vol_taken(ml),Nix_Device,Note,Date_Saved,Illuminant,Observer,Measurement_Mode,L,a,b,L.1,c,h,X,Y,Z,sRGB_R,sRGB_G,sRGB_B
nan,,0.146,0.0853248,nan,6.0,nan,nan,nan,nan,2.0,nan,29.6408806,-1.8643467,-0.428417399,29.6408806,1.91293756,192.941604,0.057076614,0.060909927,0.051088905,67.0,71.0,70.0
nan,,0.751,1.0223488,nan,6.0,nan,nan,nan,nan,2.0,nan,21.3617261,-2.96803145,-5.32159568,21.3617261,6.09332349,240.850134,0.030468183,0.033412335,0.034985636,43.0,53.0,59.0
nan,,0.141,0.0775808,nan,6.0,nan,nan,nan,nan,2.0,nan,29.8730292,-1.72030205,-0.265901604,29.8730292,1.74073054,188.786494,0.058088388,0.061844102,0.051550829,67.0,71.0,71.0
nan,,0.492,0.6212096,nan,6.0,nan,nan,nan,nan,2.0,nan,24.3428591,-2.78689459,-3.67472712,24.3428591,4.61198448,232.823503,0.038641346,0.0420655,0.040510366,51.0,59.0,63.0
nan,,0.272,0.2804736,nan,6.0,nan,nan,nan,nan,2.0,nan,27.8301911,-2.21901455,-2.01475811,27.8301911,2.99721134,222.237933,0.05020287,0.05394437,0.048171691,61.0,67.0,69.0
nan,,0.241,0.2324608,nan,6.0,nan,nan,nan,nan,2.0,nan,27.9423868,-2.33936417,-1.53031992,27.9423868,2.7954434,213.191131,0.050496465,0.054359689,0.047631683,61.0,67.0,68.0
nan,,0.177,0.1333376,nan,6.0,nan,nan,nan,nan,2.0,nan,29.2024126,-1.82482457,-0.972480138,29.2024126,2.06777715,208.053915,0.055466006,0.059171268,0.050679489,65.0,70.0,70.0
nan,,0.174,0.1286912,nan,6.0,nan,nan,nan,nan,2.0,nan,29.5801619,-1.77854003,-0.567840138,29.5801619,1.86698877,197.706888,0.056922177,0.060667154,0.051156222,66.0,71.0,70.0
nan,,0.724,0.9805312,nan,2.0,nan,nan,nan,nan,2.0,nan,22.542928,-2.77991038,-3.82955307,22.542928,4.73216425,234.023732,0.033624099,0.036682603,0.035811548,47.0,55.0,59.0
nan,,1.15,1.64032,nan,2.0,nan,nan,nan,nan,2.0,nan,16.9602606,-3.34530583,-6.64228904,16.9602606,7.43714157,243.268461,0.020593411,0.022940239,0.026374647,32.0,44.0,51.0
nan,,0.667,0.8922496,nan,1.0,nan,nan,nan,nan,2.0,nan,23.1012545,-2.71170689,-3.21367976,23.1012545,4.20488904,229.842286,0.03517557,0.038299941,0.036344224,49.0,56.0,60.0
nan,,1.07,1.516416,nan,1.0,nan,nan,nan,nan,2.0,nan,18.4425928,-2.83689097,-5.27255911,18.4425928,5.98730573,241.717607,0.023820568,0.026176619,0.027880968,37.0,46.0,52.0
nan,,0.9,1.25312,nan,3.0,nan,nan,nan,nan,2.0,nan,19.9200243,-2.98687906,-5.05691494,19.9200243,5.87314526,239.431674,0.027004222,0.029691757,0.031007401,40.0,50.0,55.0
nan,,0.699,0.9418112,nan,3.0,nan,nan,nan,nan,2.0,nan,22.0807802,-3.06086622,-4.20390445,22.0807802,5.20016487,233.941607,0.032239956,0.035378836,0.035169655,45.0,54.0,59.0
nan,0.0,0.082,0.0,nan,,nan,nan,nan,nan,2.0,nan,31.5302341,-1.20694433,0.641812435,31.5302341,1.36698128,151.997456,0.065164903,0.068791676,0.055444207,73.0,75.0,73.0
nan,0.2,0.216,0.1906776,nan,,nan,nan,nan,nan,2.0,nan,29.2487657,-1.78841673,-1.15311791,29.2487657,2.12793687,212.812719,0.055669889,0.059353487,0.051183186,65.0,70.0,71.0
nan,0.4,0.356,0.3976816,nan,,nan,nan,nan,nan,2.0,nan,26.7225963,-2.16026847,-2.52213364,26.7225963,3.32083091,229.419146,0.046494383,0.049957298,0.04560662,58.0,64.0,67.0
nan,0.6,0.489,0.5943354,nan,,nan,nan,nan,nan,2.0,nan,24.6241128,-2.37153747,-3.67837793,24.6241128,4.37660304,237.189165,0.039754612,0.042951437,0.041326595,52.0,60.0,64.0
nan,0.8,0.653,0.8368258,nan,,nan,nan,nan,nan,2.0,nan,22.8266077,-2.55588112,-4.62251476,22.8266077,5.28206124,241.060914,0.03452544,0.037498541,0.037807282,48.0,56.0,61.0
nan,1.0,0.768,1.0068648,nan,,nan,nan,nan,nan,2.0,nan,21.69014,-2.55807064,-5.0435069,21.69014,5.65514697,243.105841,0.031536019,0.034301198,0.035421087,45.0,53.0,59.0
nan,1.2,0.911,1.2183046,nan,,nan,nan,nan,nan,2.0,nan,19.4803104,-2.77621882,-6.31067271,19.4803104,6.89434413,246.254135,0.026115331,0.028614639,0.031700758,39.0,49.0,56.0
nan,1.4,1.018,1.3765148,nan,,nan,nan,nan,nan,2.0,nan,19.0531694,-2.57156274,-6.12381749,19.0531694,6.64184278,247.221099,0.025270753,0.027593571,0.030417298,38.0,48.0,55.0
nan,1.6,1.16,1.586476,nan,,nan,nan,nan,nan,2.0,nan,17.3800909,-2.72359861,-6.98679569,17.3800909,7.49888681,248.703127,0.021695272,0.023828054,0.027729029,34.0,44.0,53.0
nan,,0.127,0.0590822,nan,6.0,nan,nan,nan,nan,2.0,nan,30.7229732,-1.53341308,0.332221458,30.7229732,1.56898909,167.775521,0.06157939,0.065345765,0.053259569,70.0,73.0,72.0
nan,,0.46,0.551456,nan,6.0,nan,nan,nan,nan,2.0,nan,24.537527,-3.04530916,-3.61433686,24.537527,4.7262394,229.883727,0.039036089,0.042677383,0.040968866,51.0,60.0,64.0
nan,,0.371,0.4198606,nan,6.0,nan,nan,nan,nan,2.0,nan,26.7275127,-2.43520093,-2.76436586,26.7275127,3.68400898,228.622345,0.046300178,0.049974547,0.046058368,58.0,64.0,67.0
nan,,0.896,1.1961256,nan,6.0,nan,nan,nan,nan,2.0,nan,20.7339612,-2.57572075,-4.96347882,20.7339612,5.59199959,242.573641,0.029149869,0.031756258,0.032862186,43.0,51.0,57.0
nan,,0.17,0.122662,nan,6.0,nan,nan,nan,nan,2.0,nan,29.1889597,-2.02647029,-1.25480653,29.1889597,2.38351028,211.766121,0.055242476,0.059118453,0.051180423,65.0,70.0,71.0
nan,,0.206,0.1758916,nan,6.0,nan,nan,nan,nan,2.0,nan,29.3181743,-1.87173391,-0.938491444,29.3181743,2.09383715,206.629286,0.055856646,0.05962704,0.050999236,65.0,70.0,70.0
nan,,0.13,0.063518,nan,6.0,nan,nan,nan,nan,2.0,nan,30.137595,-1.66496722,-0.240005179,30.137595,1.68217667,188.202688,0.059157952,0.062920315,0.052393863,68.0,72.0,71.0
nan,,0.279,0.2838294,nan,6.0,nan,nan,nan,nan,2.0,nan,28.3734659,-2.07177933,-1.94572874,28.3734659,2.84220511,223.202916,0.052237504,0.055975256,0.049805998,62.0,68.0,70.0
nan,,0.294,0.3060084,nan,6.0,nan,nan,nan,nan,2.0,nan,27.6938895,-2.09155969,-2.15038125,27.6938895,2.99979357,225.79445,0.049832674,0.05344267,0.047986814,61.0,66.0,69.0
nan,,0.437,0.5174482,nan,6.0,nan,nan,nan,nan,2.0,nan,25.6988817,-2.28626182,-2.43477977,25.6988817,3.33993199,226.801858,0.04310189,0.046451448,0.042360047,56.0,62.0,64.0
nan,,1.164,1.5923904,nan,1.0,nan,nan,nan,nan,2.0,nan,17.1121105,-2.77877092,-6.4408325,17.1121105,7.01469109,246.663164,0.021142003,0.023258764,0.026449957,34.0,44.0,51.0
nan,,1.369,1.8955034,nan,1.0,nan,nan,nan,nan,2.0,nan,14.2330571,-3.31052084,-8.16940838,14.2330571,8.81469123,247.940543,0.01580237,0.017704034,0.022611344,25.0,38.0,47.0
nan,,0.955,1.283363,nan,1.0,nan,nan,nan,nan,2.0,nan,19.3350894,-2.59158454,-5.01541527,19.3350894,5.64541413,242.673524,0.025885743,0.028264715,0.029572053,40.0,48.0,54.0
nan,,0.939,1.2597054,nan,1.0,nan,nan,nan,nan,2.0,nan,19.8286033,-2.7234152,-5.19166281,19.8286033,5.8626234,242.319631,0.026934607,0.029465626,0.030975647,40.0,49.0,55.0
nan,,1.076,1.4622736,nan,3.0,nan,nan,nan,nan,2.0,nan,18.2203589,-2.70846756,-5.72550047,18.2203589,6.33381024,244.68335,0.023415829,0.025673183,0.027971335,37.0,46.0,53.0
